Artist	Album	Song	Duration	Explicit
The New Pornographers	Brill Bruisers	Brill Bruisers	2.933	0
Neutral Milk Hotel	In the Aeroplane over the Sea	Holland, 1945	3.200	0
Bishop Allen	Lights Out	Start Again	3.900	0
Royal City	Alone at the Microphone	Bad Luck	3.467	0
Grizfolk	From the Spark	The Struggle	3.550	0
Bright Eyes	Don't Be Frightened of Turning the Page	Going for the Gold	5.083	0
Cursive	Domestica	The Casualty	3.500	0
Deerhoof	Apple O'	Flower	1.783	0
mewithoutYou	Brother, Sister	Messes of Men	3.867	0
The Antlers	Hospice	Shiva	3.750	0
Bedhead	WhatFunLifeWas	Haywire	4.200	0
Low	Things We Lost in the Fire	Sunflower	4.650	0
Guided by Voices	Alien Lanes	A Good Flying Bird	1.117	0
Built to Spill	Perfect from Now On	I Would Hurt a Fly	6.250	0
