Artist	Album	Song	Duration	Explicit
ScHoolboy Q	Oxymoron	Man of the Year	3.600	1
Danny Brown	XXX	Die Like a Rockstar	2.417	1
Busdriver	Temporary Forever	Imaginary Places	3.250	0
Three 6 Mafia	Mystic Stylez	Long Nite	4.583	1
Gucci Mane	Trap House	Trap House	4.317	1
De La Soul	3 Feet High and Rising	Potholes in My Lawn	3.833	0
Public Enemy	It Takes a Nation of Millions to Hold Us Back	Security of the First World	1.333	1
Jurassic 5	Quality Control	Quality Control	4.800	0
Kitty	The Lizzie Mcguire Experience	Charnsuka	1.833	0
Sole	Selling Live Water	Da Baddest Poet	4.367	1
Death Grips	NO LOVE DEEP WEB	No Love	5.050	1
UGK	Ridin' Dirty	One Day	5.400	0
