Artist	Album	Song	Duration	Explicit
Stevie Wonder	I Was Made to Love Her	I Was Made to Love Her	2.617	0
John Legend	Love in the Future	All of Me	4.483	0
Al Green	Let's Stay Together	How Can You Mend a Broken Heart	6.383	0
The Five Stairsteps	The First Family of Soul: The Best of the Five Stairsteps	Don't Change Your Love	4.617	0
Isaac Hayes	Hot Buttered Soul	Hyperbolicsyllabicsesquedalymistic	9.683	0
Carla Thomas	Stax Profiles	I've Got No Time to Lose	3.450	0
Curtis Mayfield	Superfly	Eddie You Should Know Better	2.333	0
Bill Withers	Still Bill	Use Me	3.783	0
James Brown	The Payback	The Payback	7.650	0
Betty Davis	They Say I'm Different	He Was a Big Freak	4.617	0
