Artist	Album	Song	Duration	Explicit
Enter Shikari	Take to the Skies	Labyrinth	3.850	0
This Romantic Tragedy	Trust In Fear	I'll Shut You Down	4.217	0
Bring Me the Horizon	Suicide Season	Chelsea Smile	3.700	0
Of Mice & Men	The Flood	My Understandings	2.550	0
We Came As Romans	Understanding What We've Grown to Be	Understanding What We've Grown To Be	4.250	0
Eyes Set to Kill	Broken Frames	Ticking Bombs	3.567	0
Defeater	Empty Days & Sleepless Nights	Headstone	2.967	1
The Amity Affliction	Youngbloods	Anchors	3.800	0
A Day to Remember	Homesick	If It Means a Lot to You	6.817	0
Escape the Fate	Dying Is Your Latest Fashion	Situations	3.117	1
Misery Signals	Of Malice and the Magnum Heart	A Victim, a Target	1.850	0
Avenged Sevenfold	Sounding the Seventh Trumpet	Warmness on the Soul	4.317	0
The Devil Wears Prada	Dear Love: A Beautiful Discord	Texas Is South	6.133	0
