Artist	Album	Song	Duration	Explicit
FKA twigs	LP1	Pendulum	4.967	0
James Blake	Enough Thunder	A Case of You	2.950	0
SBTRKT	Soundboy Shift	Soundboy Shift	5.033	0
Jessie Ware	Devotion	Still Love Me	3.917	0
Groove Armada	You Got To	You Got To (GA edit)	4.000	0
Omar-S	It Can Be Done But Only I Can Do It	Supported Solely	7.567	0
DJ Koze	Amygdala	Track ID Anyone?	5.050	0
Nicolas Jaar	Space Is Only Noise	Colomb	3.367	0
Levon Vincent	Fabric 63	Stereo Systems	3.967	0
Scuba	Personality	The Hope	4.183	0
Melchior Productions	No Disco Future	Her Majesty	7.067	0
