Artist	Album	Song	Duration	Explicit
RL Grime	High Beams	Pockets	3.533	0
DJ Shadow	Endtroducing.....	Building Steam With a Grain of Salt	6.667	0
Moresounds	SNAFU EP	Day n Days	4.633	0
Lunice	Stacker Upper	Fancy Forty (Rustie remix)	4.217	0
Tobacco	Fucked Up Friends	Hairy Candy	3.250	0
James Blake	CMYK	CMYK	3.667	0
Flying Lotus	Cosmogramma	Do the Astral Plane	3.967	0
Gravediggaz	6 Feet Deep / Niggamortis	1-800 Suicide	4.283	1
Aim	Cold Water Music	Cold Water Music	5.733	0
The Herbaliser	Very Mercenary	The Sensual Woman	5.000	1
DJ Cam	Substances	Friends and Enemies	6.467	0
