Artist	Album	Song	Duration	Explicit
Cat Stevens	Teaser and the Firecat	The Wind	1.700	0
James Taylor	Greatest Hits	Carolina in My Mind	4.000	0
Joni Mitchell	Blue	Carey	3.050	0
Gordon Lightfoot	Summertime Dream	The Wreck of the Edmund Fitzgerald	6.533	0
Scott Walker	The Drift	Cossacks Are	4.517	0
Tom Waits	Real Gone	Green Grass	3.217	0
Paul Simon	There Goes Rhymin' Simon	American Tune	3.783	0
Bruce Springsteen	The River	The River	5.017	0
Johnny Cash	At Folsom Prison	Folsom Prison Blues	2.700	0
Simon & Garfunkel	Parsley, Sage, Rosemary and Thyme	Homeward Bound	2.483	0
Ryan Adams	Ryan Adams	Gimme Something Good	3.900	0
Songs: Ohia	The Lioness	Coxcomb Red	4.083	0
Patti Smith	Horses	Birdland	9.250	0
