Artist	Album	Song	Duration	Explicit
Mos Def	Black on Both Sides	Ms. Fat Booty	3.733	1
Masta Ace	Disposable Arts	Acknowledge	4.217	1
MF Doom	MM..Food	Vomitspit	2.800	0
Deltron 3030	Deltron 3030	Madness	4.633	1
Ol' Dirty Bastard	Return to the 36 Chambers: The Dirty Version	Shimmy Shimmy Ya	2.683	1
Ghostface Killah	Supreme Clientele	Mighty Healthy	3.350	1
Killer Mike	R.A.P. Music	Reagan	4.167	1
KRS-One	Return of the Boom Bap	Sound of da Police	4.300	1
Tiro de Gracia	Ser Humano!!	El juego verdadero	3.200	0
Drake	If You're Reading This It's Too Late	Energy	3.017	1
O.C.	Word...Life	Time's Up	3.417	1
Organized Konfusion	Organized Konfusion	Who Stole My Last Piece of Chicken? (remix)	3.483	1
Jean Grae	Jeanius	Intro	2.000	0
Busdriver	Temporary Forever	Along Came a Biter	4.083	0
