Artist	Album	Song	Duration	Explicit
The Mothers of Invention	Uncle Meat	Sleeping in a Jar	0.817	0
The Mars Volta	De-Loused in the Comatorium	Roulette Dares (The Haunt Of)	7.500	0
Foo Fighters	Sonic Highways	The Feast and the Famine	3.817	0
Royal Blood	Royal Blood	Figure It Out	3.067	0
Brand New	At the Bottom	Jesus (live in studio)	4.717	0
Klaxons	Love Frequency	There Is No Other Time	3.583	0
Marilyn Manson	Antichrist Superstar	Tourniquet	4.467	0
Melvins	Houdini	Set Me Straight	2.417	0
System of a Down	System of a Down	Sugar	2.550	1
The Smashing Pumpkins	Untitled	Untitled	3.867	0
Ladytron	Velocifero	Ghosts	4.700	1
Fu Manchu	The Action Is Go	Evil Eye	3.500	0
Evanescence	Fallen	Going Under	3.567	0
