Artist	Album	Song	Duration	Explicit
The Kooks	Inside In / Inside Out	Naïve	3.383	0
Jon Brion	Meaningless	Ruin My Day	3.833	0
The Maccabees	Colour It In	Precious Time	4.283	0
Ben Kweller	Ben Kweller	Thirteen	4.283	0
The New Pornographers	Brill Bruisers	War on the East Coast	3.967	0
The Wedding Present	Seamonsters	Lovenest	5.183	0
Modest Mouse	Building Nothing Out of Something	Convenient Parking	4.150	0
Portugal. The Man	The Satanic Satanist / The Majestic Majesty	Work All Day	2.967	0
Unknown Mortal Orchestra	II	From the Sun	4.717	0
Imagine Dragons	Night Visions	On Top of the World	3.200	0
Yeah Yeah Yeahs	It's Blitz!	Skeletons	5.033	0
Arcade Fire	The Suburbs	Sprawl II (Mountains Beyond Mountains)	5.417	0
