Artist	Album	Song	Duration	Explicit
Amon Amarth	With Oden on Our Side	Gods of War Arise	6.033	0
Insomnium	One for Sorrow	Only One Who Waits	5.283	0
In Flames	Subterranean	Stand Ablaze	4.567	0
Dead by April	Dead by April	Losing You	3.950	0
Amaranthe	Massive Addictive	Unreal	3.600	0
At the Gates	Slaughter of the Soul	Slaughter of the Soul	3.900	0
The Black Dahlia Murder	Ritual	A Shrine to Madness	4.683	0
My Dying Bride	As the Flower Withers	Sear Me	9.100	0
Rapture	Songs for the Withering	Two Dead Names	3.883	0
Opeth	Orchid	Forest of October	13.067	0
