Artist	Album	Song	Duration	Explicit
Spoonboy	I Love You, This Is A Robbery	California	2.200	1
Ezra Furman & The Harpoons	Inside the Human Body	Take Off Your Sunglasses	3.600	0
Parkas	Put Your Head in the Lion's Mouth	Filthy Rich Kids	5.417	0
Kultur Shock	Kultura-Diktatura	Tutti Frutti	3.750	0
Flogging Molly	Speed of Darkness	Speed of Darkness	4.133	0
Mission of Burma	The Obliterati	2wice	3.600	0
XTC	Black Sea	Generals and Majors	4.067	0
Cage the Elephant	Cage the Elephant	In One Ear	4.017	1
Laughing Hyenas	Merry Go Round	Hell's Kitchen	3.317	0
Sleater-Kinney	Dig Me Out	Dig Me Out	2.667	0
Brand New	The Quiet Things That No One Ever Knows	The Quiet Things That No One Ever Knows	4.067	0
Brand New	The Devil and God Are Raging Inside Me	Degausser	5.400	0
