Artist	Album	Song	Duration	Explicit
Minor Threat	Complete Discography	Good Guys (Don't Wear White)	2.333	0
Refused	The Shape of Punk to Come	The Shape of Punk to Come	5.100	0
La Dispute	Violitionist Sessions	A Departure	3.367	0
Envy	From Here to Eternity	Trembled	4.217	0
Melt-Banana	Cell-Scape	Lost Parts Stinging Me So Cold	3.167	0
Daughters	Hell Songs	Recorded Inside a Pyramid	3.433	0
HORSE the band	Desperate Living	Cloudwalker	4.800	0
Ponytail	Ice Cream Spiritual	Beg Waves	4.117	0
Unbroken	Life. Love. Regret.	D4	3.017	0
Bleeding Through	Portrait of the Goddess	Just Another Pretty Face	3.067	0
As I Lay Dying	A Long March: The First Recordings	Forever	4.167	0
I Killed the Prom Queen	Music For The Recently Deceased	Say Goodbye	4.217	0
Bring Me the Horizon	This Is What the Edge of Your Seat Was Made For	They Have No Reflections	5.700	0
