Artist	Album	Song	Duration	Explicit
Big L	Lifestylez ov da Poor & Dangerous	Da Graveyard	5.383	1
Mac Miller	Blue Slide Park	Frick Park Market	3.267	1
Edan	Beauty and the Beat	Fumbling Over Words That Rhyme	2.917	0
Jean Grae	Jeanius	Intro	2.000	0
DJ Jazzy Jeff & The Fresh Prince	Greatest Hits	Summertime	4.500	1
Chuck D	Autobiography of Mistachuck	Mistachuck	4.367	1
Nicki Minaj	Pink Friday: Roman Reloaded	Starships	3.500	1
Run-D.M.C.	Raising Hell	Walk This Way	5.183	0
Ariana Grande	My Everything	Problem	3.217	0
Lil Bibby	Free Crack	How We Move (Feat. King L) [Prod. By DJ L]	3.650	1
Wiz Khalifa	The Chronic	Huey Newton	2.783	0
Cam'ron	1st of the Month, Vol. 4	3rd Floor Flow	3.167	1
