Artist	Album	Song	Duration	Explicit
Justice	A Cross the Universe	DVNO	4.217	0
Basement Jaxx	Junto	Never Say Never	4.383	0
Modestep	Feel Good	Bite The Hand	3.900	0
Rollergirl	Rollergirl	Waves.	4.117	0
Above & Beyond	Group Therapy	Sun & Moon	5.433	0
Moby	Destroyed	The Broken Places	4.167	0
Chromeo	White Women	Over Your Shoulder	4.533	0
Cut Copy	Oceans Apart	Don't Stop	6.200	0
Madonna	Celebration	Celebration	3.583	1
Kill Memory Crash	American Automatic	Crash V8	4.400	0
Fatboy Slim	Better Living Through Chemistry	Santa Cruz	7.483	1
