Artist	Album	Song	Duration	Explicit
Celtic Frost	Into the Pandemonium	Mexican Radio	3.483	0
Cradle of Filth	Dusk..... And Her Embrace	Funeral in Carpathia	8.400	0
Nokturnal Mortum	Goat Horns	Kolyada	7.167	1
Samael	Ceremony of Opposites	Black Trip	3.317	0
Old Man's Child	Born of the Flickering	Wounds From the Night of Magic	3.467	0
Dimmu Borgir	Puritanical Euphoric Misanthropia	Burn in Hell	5.100	0
Emperor	In The Nightside Eclipse	Inno a Satana	4.800	0
Solefald	The Linear Scaffold	Philosophical Revolt	5.817	0
Bathory	Bathory	Hades	2.750	0
Moonsorrow	Varjoina kuljemme kuolleiden maassa	Huuto	15.967	0
