Artist	Album	Song	Duration	Explicit
Mort Garson	The Zodiac: Cosmic Sounds	Gemini: The Cool Eye	2.867	0
Purity Ring	Shrines	Lofticries	3.983	0
Born Gold	Bodysongs	Decimate Everything	2.667	0
Korallreven	Second Comin'	Death Is Not For Us	4.150	0
Matryoshka	Zatracenie	Sink Into the Sin	6.517	0
Hood	Cold House	You Show No Emotion at All	5.233	0
Baths	Ocean Death	Ocean Death	5.483	0
Oliver Schories	Herzensangelegenheit	Sunday	4.617	0
James Blake	Love What Happened Here	Love What Happened Here	5.567	0
Kill the Noise	Black Magic	Thumbs Up	3.917	0
Sexy Sushi	Tu l'as bien mérité	Tu dégages	3.600	1
