Artist	Album	Song	Duration	Explicit
Local News	Channel 8	Tonights Special Guest	1.700	0
Mark Hollis	Mark Hollis	The Daily Planet	7.317	0
Scott Walker	Bish Bosch	Corps de Blah	10.183	0
Yellow Swans	Psychic Secession	Psychic Secession	7.383	0
Prurient	Cocaine Death	Cocaine Death	4.817	0
Peaking Lights	Clearvoiant	Word Headache	4.617	0
Andrew Chalk	The Circle of Days	Crescent Shapes	2.400	0
Julia Holter	Live Recordings	Je vivroie liement	3.550	0
The Gray Field Recordings	Hypnagogia	Passiflora	3.033	0
Talk Talk	Laughing Stock	After the Flood	9.633	0
