Artist	Album	Song	Duration	Explicit
Parkway Drive	Killing with a Smile	Pandora	3.967	0
Misery Signals	Mirrors	Mirrors	7.733	0
Bring Me the Horizon	There Is a Hell, Believe Me I've Seen It. There Is a Heaven, Let's Keep It a Secret	Anthem	4.833	0
Darkest Hour	Hidden Hands of a Sadist Nation	The Sadist Nation	5.233	0
Atreyu	A Death-Grip on Yesterday	The Theft	3.983	0
Killswitch Engage	Alive or Just Breathing	Self Revolution	3.167	0
HORSE the band	Desperate Living	Cloudwalker	4.800	0
Converge	Jane Doe	Fault and Fracture	3.083	0
Avenged Sevenfold	Warmness On The Soul	We Come Out at Night	4.750	0
Mastodon	Blood Mountain	Crystal Skull	3.450	0
August Burns Red	Leveler	Internal Cannon	5.100	0
