Artist	Album	Song	Duration	Explicit
Kisses	The Heart of the Nightlife	Kisses	4.267	0
Sea Pinks	Dreaming Tracks	Dream Happening	4.200	0
The Casket Girls	Sleepwalking	Sleepwalking	3.417	0
Mathemagic	Mathemagic EP	Breaststroke	4.767	0
Mazinga Phaser	Cruising In The Neon Glories Of The New American Night	New Journeys	5.817	0
Nostalgic Story	Six Years Too Many	Oceans Of Light	2.800	0
Kashiwa Daisuke (柏大輔)	April.#02	do re me?	3.517	0
Monolake	Polygon_Cities	Pipeline	7.383	0
bvdub	The Art of Dying Alone	Nothing From No One	8.800	0
Leyland Kirby	Sadly, The Future Is No Longer What It Was	And as I Sat Beside You I Felt the Great Sadness That Day	12.783	0
