Artist	Album	Song	Duration	Explicit
Crosby, Stills, Nash & Young	So Far	Woodstock	3.933	0
Leonard Cohen	Songs from a Room	The Partisan	3.433	0
Simon & Garfunkel	Parsley, Sage, Rosemary and Thyme	Homeward Bound	2.483	0
Bob Dylan	Highway 61 Revisited	Like a Rolling Stone	6.217	0
Donovan	Sunshine Superman	Season of the Witch	5.433	0
The Beach Boys	Pet Sounds	I Just Wasn’t Made for These Times	3.250	0
Bruce Springsteen	Born in the U.S.A.	Dancing in the Dark	4.083	0
Dire Straits	Dire Straits	Sultans of Swing	5.800	0
Muddy Waters	Hard Again	Mannish Boy	5.400	0
Eric Clapton	461 Ocean Boulevard	Let It Grow	4.967	0
Jimi Hendrix	Band of Gypsys	We Gotta Live Together	9.917	0
