Artist	Album	Song	Duration	Explicit
Aim	Cold Water Music	Cold Water Music	5.733	0
The Herbaliser	Very Mercenary	The Sensual Woman	5.000	1
Karsh Kale	Liberation	Instinct	5.700	0
Boards of Canada	Trans Canada Highway	Dayvan Cowboy	5.017	0
Darkside	Psychic Live	Heart	4.950	0
Bruce Haack	Electronic Record For Children	Saint Basil	2.217	0
Black Moth Super Rainbow	Eating Us	Twin of Myself	3.333	0
Mort Garson	The Wozard of Iz	I've Been Over the Rainbow	2.017	0
Mort Garson	The Zodiac: Cosmic Sounds	Aries: The Fire-Fighter	3.283	0
Jefre Cantu-Ledesma	Love Is a Stream	Body Within Body	2.450	0
Lee Noble	Horrorism	Your Privilege	5.283	0
Coil	The Ape of Naples	The Last Amethyst Deceiver	10.183	0
