Artist	Album	Song	Duration	Explicit
The Antlers	Hospice	Epilogue	5.417	0
Sufjan Stevens	Illinois	Casimir Pulaski Day	5.883	0
Death Cab for Cutie	Transatlanticism	Transatlanticism	8.033	0
The Black Keys	El Camino	Lonely Boy	3.217	0
Franz Ferdinand	Franz Ferdinand	Darts of Pleasure	2.983	0
Imagine Dragons	Night Visions	Radioactive	3.100	0
Neutral Milk Hotel	In the Aeroplane over the Sea	Holland, 1945	3.200	0
At the Drive-In	Relationship of Command	One Armed Scissor	4.317	0
Unknown Mortal Orchestra	II	So Good at Being in Trouble	3.833	0
Mac DeMarco	Salad Days	Salad Days	2.417	0
Beach Fossils	What a Pleasure	What a Pleasure	2.533	0
Beach House	Bloom	Lazuli	5.033	0
