Artist	Album	Song	Duration	Explicit
Eyeliner	High Fashion Mood Music	Closeness	2.600	0
Shamir	Northtown	I Know It's a Good Thing	3.950	0
Majid Jordan	Majid Jordan	Learn From Each Other	5.767	0
Banks	Goddess	Beggin for Thread	4.150	0
Ryan Hemsworth	Alone for the First Time	Snow in Newark	4.050	0
Lykke Li	Gunshot (Remixes)	Gunshot (The Shoes vs. San Zhi remix)	3.467	0
INXS	Kick	Mystify	3.283	0
jj	jj n° 2	Ecstasy	3.550	0
Sneaker Pimps	Becoming X	Becoming X	4.250	0
Submotion Orchestra	Finest Hour	Secrets	5.433	0
Portishead	Third	The Rip	4.500	1
Matthew Dear	Beams	Her Fantasy	6.233	0
