Artist	Album	Song	Duration	Explicit
Amplifier	Amplifier	Airborne	8.483	0
Mr. Bungle	Mr. Bungle	The Girls of Porn	6.700	0
Serj Tankian	Imperfect Harmonies	Deserving?	4.083	0
Elvis Presley	Elvis' Golden Records	Jailhouse Rock	2.467	0
Tame Impala	Tame Impala	Half Full Glass of Wine	4.433	0
Iron & Wine	The Shepherd's Dog	Carousel	4.033	0
Courtney Barnett	The Double EP: A Sea of Split Peas	Avant Gardener	5.200	0
Lana Del Rey	Paradise	Blue Velvet	2.600	0
Metronomy	Not Made for Love	Not Made for Love	3.567	0
Homeshake	Midnight Snack	Give It to Me	3.150	0
Ducktails	The Flower Lane	Under Cover	6.150	0
