Artist	Album	Song	Duration	Explicit
Cranes	Forever	Everywhere	3.683	0
Whirr	Distressor	Ghost	4.200	0
My Bloody Valentine	Feed Me with Your Kiss	Feed Me With Your Kiss	3.933	0
The Radio Dept.	Clinging to a Scheme	Domestic Scene	2.417	0
Grimes	Visions	Oblivion	4.183	0
Beach House	Devotion	Astronaut	5.067	0
M83	Dead Cities, Red Seas & Lost Ghosts	America	3.100	0
Deerhunter	Halcyon Digest	Helicopter	4.967	0
Spiritualized	Ladies and Gentlemen We Are Floating in Space	Ladies and Gentlemen We Are Floating in Space	3.667	0
The Jesus and Mary Chain	Psychocandy	The Hardest Walk	2.667	0
Echo & The Bunnymen	Heaven Up Here	All I Want	3.167	0
Joy Division	Unknown Pleasures	She’s Lost Control	3.933	0
Stereolab	Refried Ectoplasm: Switched On, Vol. 2	Lo Boob Oscillator	6.600	0
