Artist	Album	Song	Duration	Explicit
Fugazi	End Hits	Place Position	2.750	0
Embrace	Embrace	Dance of Days	2.267	0
Fugazi	Steady Diet of Nothing	Long Division	2.200	0
Metz	Metz	Headache	2.300	0
Big Black	Songs About Fucking	Kasimir S. Pulaski Day	2.467	1
No Age	Nouns	Sleeper Hold	2.450	0
Drive Like Jehu	Yank Crime	Here Come the Rome Plows	5.717	0
At the Drive-In	Relationship of Command	One Armed Scissor	4.317	0
Slint	Spiderland	Good Morning, Captain	7.650	0
Shellac	At Action Park	My Black Ass	3.000	1
Slint	Tweez	Ron	1.917	1
Cymbals Eat Guitars	LOSE	Warning	3.333	1
Hood	Cabled Linear Traction	British Radars	4.600	0
Candy Claws	Hidden Lands	In the Deep Time	6.967	0
