Artist	Album	Song	Duration	Explicit
Andrew Belling	WIZARDS	Fairy Attack	1.750	0
David Lynch,Angelo Badalamenti	Twin Peaks: Season Two Music and More	Dark Mood Woods / The Red Room	9.017	0
National Philharmonic Orchestra	Alien	The Landing	4.550	0
Jerry Goldsmith	The Wind and the Lion	Main Title	1.067	0
Howard Shore	The Silence of the Lambs	Lambs Screaming	5.633	0
James Newton Howard	Blood Diamond	Solomon Vandy	2.183	0
Philip Glass Ensemble	The Music of Candyman	Candyman Suite: Face to Razor	6.217	0
Danny Elfman	The Nightmare Before Christmas	Making Christmas	3.950	0
Vitamin String Quartet	The String Quartet Tribute to System of a Down	Soldier Side	3.600	0
Allah-Las	Worship the Sun	De Vida Voz	2.517	0
Grails	Doomsdayer's Holiday	Reincarnation Blues	4.417	0
Oren Ambarchi	Suspension	Vogler	12.583	0
