Artist	Album	Song	Duration	Explicit
DJ Cam	Substances	Innervisions	4.750	0
Benjamin Booker	Benjamin Booker	Wicked Waters	3.450	0
Frank Sinatra	In the Wee Small Hours	Deep in a Dream	2.883	0
Blind Willie Johnson	Dark Was the Night	Jesus Make Up My Dying Bed	3.233	0
Smooth	The Parade	Friendly Yours	5.150	0
Rotary Connection	Rotary Connection	Like a Rolling Stone	4.867	0
Ohio Players	Pain	Pain	6.250	0
Sly & The Family Stone	Dance to the Music	I Ain't Got Nobody (For Real)	4.383	0
Isaac Hayes	Shaft	Shaft Strikes Again	3.067	0
Al Green	The Belle Album	Georgia Boy	6.967	0
Edwin Starr	Clean	Contact	7.300	0
