Artist	Album	Song	Duration	Explicit
2Pac	All Eyez on Me	Life Goes On	5.033	1
The Game	The Documentary	Hate It or Love It	3.433	1
Die Antwoord	$O$	Enter the Ninja	5.150	1
El-P	Cancer 4 Cure	The Full Retard	3.650	1
Earl Sweatshirt	Doris	Chum	4.050	1
Joey Bada$$	1999	Waves	3.483	0
A$AP Rocky	LONG.LIVE.A$AP	Wild for the Night	3.483	0
Lil B	God's Father	I Own Swag	3.450	1
The X-ecutioners	General Patton vs. The X-Ecutioners	Battle Hymn of the Technics Republic	1.183	0
Future	DS2	Thought It Was a Drought	4.417	1
Freddie Gibbs	Pronto	Diamonds	4.233	0
