Artist	Album	Song	Duration	Explicit
Luke Vibert	Big Soup	Reality Check	6.067	0
M83	Dead Cities, Red Seas & Lost Ghosts	America	3.100	0
Lusine	Serial Hodgepodge	The Stop	4.950	0
Amon Tobin	Bricolage	Defocus	5.167	0
Squarepusher	Hard Normal Daddy	Beep Street	6.617	0
Thom Yorke	Tomorrow's Modern Boxes	Guess Again!	4.383	0
The Future Sound of London	Dead Cities	We Have Explosive	6.317	0
Helios	Unomia	Velius	5.650	0
Four Tet	Rounds	As Serious as Your Life	4.800	0
Röyksopp	Junior	Happy Up Here	2.717	0
Björk	Homogenic	Bachelorette	5.200	0
Massive Attack	Mezzanine	Teardrop	5.500	0
