Artist	Album	Song	Duration	Explicit
Emerson, Lake & Palmer	Tarkus	Bitches Crystal	3.967	0
Aphrodite's Child	666	The Lamb	4.567	0
Curved Air	Phantasmagoria	Marie Antoinette	6.333	0
Rush	2112	Something for Nothing	3.967	0
Queen	Sheer Heart Attack	Killer Queen	3.000	0
High Tide	Sea Shanties	Nowhere	5.933	0
AC/DC	Back in Black	Back in Black	4.250	0
Jimi Hendrix	Are You Experienced	Red House	3.733	0
Bon Jovi	Crush	One Wild Night	4.700	0
Guns N' Roses	Appetite for Destruction	Welcome to the Jungle	4.550	0
Black Sabbath	Sabbath Bloody Sabbath	Killing Yourself to Live	5.683	0
