Artist	Album	Song	Duration	Explicit
Pale Saints	The Comforts of Madness	Sight of You	5.617	0
School of Seven Bells	Alpinisms	Chain	4.367	0
Whirr	Distressor	Ghost	4.200	0
The Radio Dept.	Clinging to a Scheme	Never Follow Suit	4.150	0
Spiritualized	Ladies and Gentlemen We Are Floating in Space	Ladies and Gentlemen We Are Floating in Space	3.667	0
The Telescopes	The Telescopes	Flying	2.850	0
Galaxie 500	On Fire	Blue Thunder	3.800	0
Spacemen 3	Recurring	I Love You	5.533	0
Spiritualized	Lazer Guided Melodies	I Want You	3.800	0
Candy Claws	Hidden Lands	In the Deep Time	6.967	0
LSD and the Search for God	LSD and the Search for God	Starting Over	5.050	0
