Artist	Album	Song	Duration	Explicit
Blue Hawaii	Blooming Summer	Blue Gowns	3.317	0
Work Drugs	Runaways	Free to Roam	3.583	0
Skywave	Synthstatic	Fire	4.200	0
Screen Vinyl Image	Interceptors	Until the End of Time	4.250	0
Literature	Chorus	The Girl, the Gold Watch, and Everything	2.283	0
Monk & Canatella	Care in the Community	Roughead	3.750	0
Star Slinger	Rogue Cho Pa	Do It Myself	4.033	0
Brasstronaut	Mount Chimaera	Slow Knots	4.767	0
La Mar	Tides	Oyster	4.100	0
Mint Julep	Save Your Season	Aviary	3.700	0
Moonface	City Wrecker	The Fog	3.483	0
Sorne	House of Stone	First Born	3.517	0
indigolab	Disconnected Remedies	Red	6.333	0
