Artist	Album	Song	Duration	Explicit
Nomeansno	Wrong	Rags and Bones	5.083	0
Mutators	Secret Life	Hidden Place	2.300	0
Drunkdriver	Born Pregnant	Ode	4.850	0
Raspberry Bulbs	Deformed Worship	Lusty Climbing	3.133	0
Stormtroopers of Death	Speak English or Die	Kill Yourself	4.133	0
Dystopia	Human = Garbage	Sanctity	6.150	0
Cro-Mags	Best Wishes	Age of Quarrel	4.750	0
Emmure	Goodbye to the Gallows	Rusted Over Wet Dreams	3.133	0
Betraying the Martyrs	The Hurt The Divine The Light	Out of Egypt	4.150	0
Daughters	Hell Songs	Recorded Inside a Pyramid	3.433	0
Melt-Banana	Cell-Scape	Lost Parts Stinging Me So Cold	3.167	0
Agrimonia	Rites of Separation	Hunted	15.683	0
