Artist	Album	Song	Duration	Explicit
Benighted	Benighted	Benighted Transcendence	5.000	0
Morbid Angel	Altars of Madness	Maze of Torment	4.400	0
Cannibal Corpse	Eaten Back to Life	A Skull Full of Maggots	2.100	0
Carcass	Symphonies of Sickness	Ruptured in Purulence	4.183	1
Decapitated	Carnival Is Forever	United	5.433	1
Gojira	The Way of All Flesh	The Art of Dying	9.900	0
Obscura	Cosmogenesis	Orbital Elements	5.350	0
Gorod	A Perfect Absolution	Sailing Into the Earth	4.917	0
Death	Human	Lack of Comprehension	3.717	1
Job for a Cowboy	Sun Eater	Eating the Visions of God	6.500	0
