Artist	Album	Song	Duration	Explicit
Glowsun	The Sundering	Virus	5.400	0
Greenleaf	Agents of Ahriman	Alishan Mountain	4.400	0
L.A. Guns	L.A. Guns	One More Reason	3.100	0
Mötley Crüe	Shout at the Devil	Looks That Kill	4.117	0
Joe Satriani	Surfing With the Alien	Ice 9	4.000	0
Yngwie Malmsteen	Rising Force	Far Beyond the Sun	5.867	0
Iron Maiden	Powerslave	Powerslave	6.783	0
Saxon	Wheels of Steel	Wheels of Steel	5.967	0
Black Sabbath	Never Say Die!	Over to You	5.367	0
Judas Priest	Sad Wings of Destiny	Victim of Changes	7.883	0
