Artist	Album	Song	Duration	Explicit
Ludwig van Beethoven	Symphony No. 7 in A major op. 92  Symphony N0. 8 in F major op. 93	Symphony No. 7 in A major, Op. 92: III. Presto - Assai meno presto	15.867	0
Gil Shaham	Devil's Dance	A Transylvanian Lullaby from "Young Frankenstein"	3.983	0
The Western Wind Vocal Ensemble	Koyaanisqatsi	Koyaanisqatsi	3.500	0
Mondo Drag	New Rituals	New Rituals	9.017	1
Wim Mertens	Instrumental Songs	Mimicry	4.950	0
Philip Glass Ensemble	Glassworks	Closing	5.983	0
Arvo Pärt	Tabula Rasa	Fratres	11.983	0
