Artist	Album	Song	Duration	Explicit
Big L	Lifestylez ov da Poor & Dangerous	MVP	3.650	0
Jurassic 5	Quality Control	The Influence	3.933	1
Public Enemy	It Takes a Nation of Millions to Hold Us Back	Security of the First World	1.333	1
De La Soul	3 Feet High and Rising	Potholes in My Lawn	3.833	0
A Tribe Called Quest	The Low End Theory	Scenario	4.167	1
MF Doom	MM..Food	Vomitspit	2.800	0
Three 6 Mafia	Mystic Stylez	Da Summa	4.717	1
UGK	Ridin' Dirty	One Day	5.400	0
Big K.R.I.T.	Cadillactica	Angels	3.767	0
Die Antwoord	$O$	Rich Bitch	3.567	1
Sole	Selling Live Water	Teepee on a Highway Blues	4.033	0
El-P	Fantastic Damage	Deep Space 9mm	3.783	1
Atmosphere	When Life Gives You Lemons, You Paint That Shit Gold	Puppets	3.683	1
