Artist	Album	Song	Duration	Explicit
Archie Whitewater	Archie Whitewater	Cross Country	3.350	0
Etta James	At Last: The Best of Etta James	I Just Want to Make Love to You	3.083	0
Aretha Franklin	The Best Of Aretha Franklin	Think	2.300	0
Rotary Connection	Hey Love	I Am the Black Gold of the Sun	5.783	0
Gil Scott-Heron	Pieces of a Man	Home Is Where the Hatred Is	3.333	0
Sly & The Family Stone	Dance to the Music	I Ain't Got Nobody (For Real)	4.383	0
Funkadelic	Free Your Mind... And Your Ass Will Follow	Funky Dollar Bill	3.267	0
The Bar-Kays	Soul Finger	Soul Finger	2.367	0
Earth, Wind & Fire	That's the Way of the World	Reasons	4.983	0
Kool & the Gang	Wild and Peaceful	Jungle Boogie	3.100	0
Stevie Wonder	Early Classics	Uptight (Everything's Alright)	2.933	0
Curtis Mayfield	Superfly	Superfly	3.883	0
James Brown	Live At The Apollo	Try Me	2.233	0
Tower of Power	Tower of Power	What Is Hip?	5.150	0
