Artist	Album	Song	Duration	Explicit
Pia Fraus	In Solarium	400 & 57	3.933	0
Soundpool	Dichotomies & Dreamland	Do What You Love	5.350	0
Amusement Parks on Fire	Out of the Angeles	A Star Is Born	6.883	0
lovesliescrushing	Bloweyelashwish	Teardrop	0.533	0
Cocteau Twins	Heaven or Las Vegas	Heaven or Las Vegas	4.950	0
Lush	Spooky	Ocean	4.817	0
Slowdive	Just for a Day	Waves	5.900	0
Chapterhouse	Whirlpool	Breather	4.317	0
School of Seven Bells	Alpinisms	Chain	4.367	0
The Fauns	The Fauns	Road Meets the Sky	3.933	0
Cosmicdust	Snow Noise Assemblage	Bird Cries	7.800	0
