Artist	Album	Song	Duration	Explicit
Alvin Lucier	Vespers and Other Early Works (1961-70)	Vespers	15.983	0
Richard Pinhas	East/West	London: "Sense of Doubt"	2.817	0
LAKE R▲DIO	Planet Earth About to Be Recycled	Every Little Thing	3.600	0
Fatima Al Qadiri	Desert Strike	Ghost Raid	2.267	0
ODESZA	My Friends Never Die Remixes	If There's Time (Kodak to Graph Remix)	5.900	0
Sophie	Lemonade / Hard	Lemonade	1.967	0
Felix Cartal	Ready For Love	Ready for Love	4.017	0
Keys N Krates	SOLOW	Dum Dee Dum	3.200	0
Psychic TV	Origin of the Species Volume Too! - A Second Supply of Two Tablets of Acid	Joy (Joy-Orgasm-Youth mix)	5.250	0
Hakobune	Shadow on the Lawn	Shadow on the Lawn	9.000	0
