Artist	Album	Song	Duration	Explicit
Jeru the Damaja	The Sun Rises in the East	Come Clean	4.950	0
Gang Starr	Moment of Truth	You Know My Steez	4.117	1
A Tribe Called Quest	The Low End Theory	Excursions	3.900	0
J Dilla	Donuts	Last Donut of the Night	1.650	0
DJ Shadow	Endtroducing.....	Building Steam With a Grain of Salt	6.667	0
Kanye West	Yeezus	Black Skinhead	3.133	1
Death Grips	The Money Store	Double Helix	2.600	0
jj	jj n° 2	Ecstasy	3.550	0
Bibio	Ambivalence Avenue	Lovers’ Carvings	3.967	0
Amy Winehouse	Frank	You Sent Me Flying / Cherry	6.833	0
Moby	Destroyed	The Broken Places	4.167	0
Daft Punk	Discovery	Voyager	3.783	0
Massive Attack	Blue Lines	One Love	4.800	0
Delerium	Music Box Opera	Raindown	5.800	0
