Artist	Album	Song	Duration	Explicit
Creedence Clearwater Revival	Cosmo's Factory	Up Around the Bend	2.700	0
Neil Young	Psychedelic Pill	Twisted Road	3.483	0
Steve Miller Band	Children of the Future	Roll With It	2.500	0
Janis Joplin	I Got Dem Ol' Kozmic Blues Again Mama!	Kozmic Blues	4.433	0
Cream	Disraeli Gears	Sunshine of Your Love	4.200	0
Grateful Dead	American Beauty	Sugar Magnolia	3.283	0
Pink Floyd	A Saucerful of Secrets	Remember a Day	4.533	0
Country Joe & The Fish	Electric Music for the Mind and Body	Grace	7.050	0
Quicksilver Messenger Service	Happy Trails	Mona	7.017	0
Link Wray	Rumble! The Best of Link Wray	I'm Branded	2.067	0
Jimi Hendrix	Are You Experienced	Red House	3.733	0
Eric Clapton	Unplugged	Old Love	7.883	0
