Artist	Album	Song	Duration	Explicit
La Dispute	Vancouver	Future Wars	2.950	0
Alesana	Try This With Your Eyes Closed	Congratulations, I Hate You	4.117	0
Escape the Fate	There's No Sympathy for the Dead	The Guillotine	4.533	0
The Amity Affliction	High Hopes	Straight Up	3.833	1
Alesana	The Emptiness	The Thespian	3.950	0
Refused	The Shape of Punk to Come	The Shape of Punk to Come	5.100	0
Minor Threat	Complete Discography	Filler	1.533	0
Kvelertak	Kvelertak	Mjød	2.517	0
Kylesa	Time Will Fuse Its Worth	Identity Defined	3.333	0
The Devil Wears Prada	With Roots Above and Branches Below	Louder Than Thunder	2.617	0
A Day to Remember	Homesick	If It Means a Lot to You	6.817	0
Bring Me the Horizon	Suicide Season	Chelsea Smile	3.700	0
Helmet	Meantime	Give It	4.283	0
