Artist	Album	Song	Duration	Explicit
Nas	Illmatic	One Love	5.417	0
Wu-Tang Clan	Enter the Wu-Tang (36 Chambers)	Wu‐Tang: 7th Chamber	6.100	0
Gang Starr	Moment of Truth	You Know My Steez	4.117	1
A Tribe Called Quest	The Low End Theory	Excursions	3.900	0
Jay Z	The Blueprint	All I Need	4.467	0
Kanye West	My Beautiful Dark Twisted Fantasy	All of the Lights	4.983	0
J Dilla	Donuts	Last Donut of the Night	1.650	0
Beastie Boys	Paul's Boutique	Shadrach	4.133	0
Eminem	The Marshall Mathers LP	The Real Slim Shady	4.733	1
Kendrick Lamar	To Pimp a Butterfly	King Kunta	3.900	1
The Notorious B.I.G.	Ready to Die	Everyday Struggle	5.317	1
N.W.A	Straight Outta Compton	Straight Outta Compton	4.300	1
Mos Def	Black on Both Sides	Ms. Fat Booty	3.733	1
KRS-One	Return of the Boom Bap	Mortal Thought	3.317	1
