Artist	Album	Song	Duration	Explicit
The Red Krayola	The Parable of Arable Land	War Sucks	6.517	0
Night Beats	Night Beats	Dial 666	1.750	0
O'Death	Outside	Bugs	2.233	0
Twink	Think Pink	Ten Thousand Words in a Cardboard Box	4.483	0
Allah-Las	Worship the Sun	De Vida Voz	2.517	0
Mudhoney	Superfuzz Bigmuff	Need	3.017	0
Mercury Rev	Boces	Trickle Down	5.067	1
Ty Segall	Manipulator	The Singer	4.267	0
Merchandise	After the End	Enemy	4.500	0
The Click Five	Greetings from Imrie House	Catch Your Wave	2.867	0
Fiona Apple	The Idler Wheel Is Wiser Than the Driver of the Screw and Whipping Cords Will Serve You More Than Ropes Will Ever Do	Every Single Night	3.550	0
Halo of Flies	Music for Insect Minds	Headburn	4.167	0
Pain Teens	Destroy Me, Lover	Body Memory	6.417	0
