Artist	Album	Song	Duration	Explicit
Pablo Casals	The 6 Cello Suites	Cello Suite no. 2 in D minor, BWV 1008: II. Allemande	3.917	0
Pascal Rogé	3 Gymnopédies & Other Piano Works	Sonatine bureaucratique	4.333	0
Ernesto Lecuona	Lecuona Interpreta a Lecuona	Malagueña	3.250	0
Cobb Bussinger	Breath of Life	Hold Dear the Tender Heart	5.050	0
Ludovico Einaudi	Divenire	Fly	4.650	0
Evgeny Kissin	Tchaikovsky: Piano Concerto no. 1 & Scriabin 4 Pieces & Etude in C	Concerto for Piano and Orchestra No. 1 in B-flat minor, Op. 23: III. Allegro con fuoco	8.567	0
Vince Guaraldi Trio	A Charlie Brown Christmas	Skating	2.400	0
Tokyo String Quartet	String Quartets Nos.1-6	String Quartet No. 4, Sz 91: II. Prestissimo con sordino	2.167	0
Le Lendemain	Fires	Fiore	4.217	0
Illuha	Shizuku	Saika (彩架)	5.900	0
Philip Glass	Analog	Mad Rush for organ	16.233	0
