Artist	Album	Song	Duration	Explicit
Icon of Coil	Serenity Is The Devil	Regret	5.050	0
Makeup and Vanity Set	88:88	A Glowing Light, a Promise	5.550	0
Dead or Alive	Youthquake	You Spin Me Round (Like a Record)	3.300	0
La Roux	Trouble in Paradise	Uptight Downtown	4.367	0
Erasure	The Circus	Victim of Love	3.683	0
Depeche Mode	Ultra	The Love Thieves	6.567	0
Frankie Goes to Hollywood	Welcome to the Pleasuredome	The Power of Love	5.533	0
CHVRCHES	The Bones of What You Believe	Recover	3.750	0
Crystal Castles	Crystal Castles (II)	Birds	2.500	0
Ladytron	Velocifero	Ghosts	4.700	1
Kraftwerk	Trans-Europe Express (Trans Europa Express)	Europa Endlos	9.633	0
