Artist	Album	Song	Duration	Explicit
Aesop Rock	The Impossible Kid	Rings	3.783	0
Sage Francis	Still Sickly Business	Andy Kaufman	2.533	0
Busdriver	RoadKillOvercoat	Casting Agents and Cowgirls	3.283	0
Earl Sweatshirt	I Don't Like Shit, I Don't Go Outside: An Album by Earl Sweatshirt	Grief	4.167	1
Tech N9ne	All 6's and 7's	Technicians	3.867	1
CunninLynguists	A Piece of Strange	Nothing to Give	3.500	0
Curren$y	This Ain't No Mixtape	Got It	3.417	1
Curren$y	Jet Files	Burn an Ounce	3.617	0
Damu the Fudgemunk	Public Assembly	Streamline (instrumental version)	6.700	0
Blue Scholars	The Long March EP	Southside Revival	4.933	1
P.O.S	Never Better	Purexed	5.200	1
Hail Mary Mallon	Bestiary	Jonathan	3.417	0
