Artist	Album	Song	Duration	Explicit
Atomic Rooster	Death Walks Behind You	Tomorrow Night	4.000	0
Edgar Broughton Band	Edgar Broughton Band	The Birth	3.383	0
Leaf Hound	Growers of Mushroom	Freelance Fiend	3.200	0
Night Sun	Mournin'	Plastic Shotgun	2.550	0
Lucifer's Friend	Lucifer's Friend	Ride in the Sky	2.917	0
Sir Lord Baltimore	Kingdom Come	Kingdom Come	6.533	0
Aphrodite's Child	666	The Lamb	4.567	0
Can	Soundtracks	She Brings the Rain	4.100	0
Graveyard	Graveyard	Evil Ways	3.450	0
Guru Guru	UFO	Stone In	5.717	0
Arzachel	Arzachel	Queen St. Gang	4.417	0
Phish	Live Phish 18 - 1994-05-07 The Bomb Factory, Dallas, TX	The Divided Sky	14.917	0
