Artist	Album	Song	Duration	Explicit
I Monster	Neveroddoreven	Heaven	3.900	0
Crustation	Purple	Purple	3.750	0
King Midas Sound	Waiting for You	Cool Out	2.950	0
Jacques Greene	Concealer	These Days	5.083	0
Fatboy Slim	Better Living Through Chemistry	Going Out of My Head	5.233	0
Cassius	1999	Interlude	1.367	0
Moire	Shelter	Attitude	6.150	1
Pantha du Prince	Black Noise	Lay in a Shimmer	6.633	0
Gui Boratto	III	Trap	3.717	0
Claude VonStroke	Beware of the Bird	Deep Throat	6.200	0
Jürgen Paape	Kompilation	So weit wie noch nie	5.800	0
