Artist	Album	Song	Duration	Explicit
Darkthrone	The Underground Resistance	Valkyrie	5.233	0
Immortal	Damned in Black	Damned in Black	6.867	0
Dissection	Storm of the Light's Bane	Night's Blood	6.667	0
Mercyful Fate	Don't Break the Oath	Come to the Sabbath	5.317	0
Megadeth	Killing Is My Business... And Business Is Good!	Chosen Ones	2.900	0
Slayer	Undisputed Attitude	I'm Gonna Be Your God	2.967	1
Skeletonwitch	Breathing the Fire	Stand Fight and Die	3.433	0
Children of Bodom	Hate Crew Deathroll	Sixpounder	3.400	0
In Flames	Soundtrack to Your Escape	The Quiet Place	3.750	0
Amon Amarth	Once Sent from the Golden Hall	Victorious March	7.933	0
