Artist	Album	Song	Duration	Explicit
Ty Segall	Slaughterhouse	I Bought My Eyes	3.767	0
Roky Erickson	I Think of Demons	Creature With the Atom Brain	4.217	0
Ty Segall	Manipulator	Green Belly	2.550	0
King Tuff	King Tuff	Anthem	3.500	0
Unknown Mortal Orchestra	II	So Good at Being in Trouble	3.833	0
Melody's Echo Chamber	Melody's Echo Chamber	I Follow You	3.583	0
The Brian Jonestown Massacre	Methodrone	That Girl Suicide	3.683	0
Moon Duo	Mazes	Mazes	5.083	0
Black Moth Super Rainbow	Falling Through a Field	Vietcaterpillar	2.117	0
Animal Collective	Here Comes the Indian	Native Belle	3.867	0
of Montreal	Paralytic Stalks	Gelid Ascent	4.150	0
Broken Social Scene	You Forgot It in People	Anthems for a Seventeen Year‐Old Girl	4.583	0
Dungen	Tio bitar	Familj	5.667	0
