Artist	Album	Song	Duration	Explicit
SBTRKT	Wonder Where We Land	Problem (Solved)	2.650	0
Matthew Dear	Beams	Temptation	6.183	0
CHVRCHES	The Bones of What You Believe	The Mother We Share	3.200	1
Erasure	The Circus	Victim of Love	3.683	0
Chromatics	Kill for Love	Kill for Love	3.950	0
Lykke Li	Gunshot (Remixes)	Gunshot (Faul remix)	5.683	0
Kimbra	The Golden Echo	90s Music	3.600	0
Oh Land	Earth Sick	Head Up High	3.533	0
MGMT	Oracular Spectacular	The Youth	3.800	0
Passion Pit	Gossamer	Take a Walk	4.400	0
Lana Del Rey	No Kung Fu	Yayo	4.317	0
Marina & The Diamonds	Electra Heart	Primadonna	3.667	0
