Artist	Album	Song	Duration	Explicit
Hooverphonic	Blue Wonder Power Milk	Eden	3.550	0
Air	Moon Safari	Le Voyage de Pénélope	3.183	0
Télépopmusik	Angel Milk	Close	3.300	0
Four Tet	Rounds	As Serious as Your Life	4.800	0
Boards of Canada	The Campfire Headphase	Dayvan Cowboy	5.000	0
Amon Tobin	Out from Out Where	Mighty Micro People	5.800	0
UNKLE	Psyence Fiction	Lonely Soul	9.000	0
Flying Lotus	Cosmogramma	Do the Astral Plane	3.967	0
deadmau5	Get Scraped	8bit	4.700	1
Portishead	Roseland NYC Live	Glory Box	5.633	0
Lemon Jelly	Lost Horizons	Space Walk	7.033	0
I Monster	Neveroddoreven	Daydream in Blue	3.650	0
