Artist	Album	Song	Duration	Explicit
Lush	Split	Desire Lines	7.650	0
Slowdive	Just for a Day	Waves	5.900	0
My Bloody Valentine	Feed Me with Your Kiss	I Need No Trust	3.533	0
Cocteau Twins	Head Over Heels / Sunburst and Snowblind	In Our Angelhood	2.983	0
Bowery Electric	BEAT	Fear of Flying	5.650	0
A Sunny Day in Glasgow	Scribble Mural Comic Journal	No. 6 Von Karman Street	4.250	0
Salem	Water	Redlights	3.550	0
Purity Ring	Shrines	Lofticries	3.983	0
Grimes	Visions	Oblivion	4.183	0
Blue Hawaii	Blooming Summer	Blue Gowns	3.317	0
Memory Tapes	Call & Response	Asleep at a Party	4.267	0
