Artist	Album	Song	Duration	Explicit
Eyes Set to Kill	The World Outside	Come Home	4.250	0
Fugazi	Repeater	Repeater	3.017	1
Hüsker Dü	Zen Arcade	Something I Learned Today	2.183	0
Bad Brains	Bad Brains	Banned in D.C.	2.200	1
Misfits	Walk Among Us	Skulls	2.017	0
Atreyu	Fractures in the Facade of Your Porcelain Beauty	Someone's Standing on My Chest	4.717	0
A Wilhelm Scream	Mute Print	Famous Friends and Fashion Drunks	2.400	1
Minutemen	Double Nickels on the Dime	Corona	2.567	1
Kvelertak	Kvelertak	Mjød	2.517	0
D.R.I.	Thrash Zone	Beneath the Wheel	5.600	0
76% Uncertain	Nothing But Love Songs	I Hate the Radio	6.783	1
Darkest Hour	Deliver Us	Demon(s)	3.800	0
Converge	Axe to Fall	Dark Horse	2.900	0
Code Orange Kids	I Am King	My World	2.933	0
