Artist	Album	Song	Duration	Explicit
Sleepy Sun	Fever	Marina	6.350	0
Quicksilver Messenger Service	Happy Trails	Mona	7.017	0
Mercury Rev	Yerself Is Steam	Chasing a Bee	7.183	0
Cream	Disraeli Gears	Sunshine of Your Love	4.200	0
Jefferson Airplane	After Bathing at Baxter's	Two Heads	2.667	0
Grateful Dead	American Beauty	Brokedown Palace	4.150	0
Link Wray	Rumble! The Best of Link Wray	Rumble	2.433	0
Eric Clapton	Unplugged	Layla	4.767	0
Yes	Time and a Word	Everydays	6.233	0
Iron Butterfly	In-A-Gadda-Da-Vida	My Mirage	4.883	0
