Artist	Album	Song	Duration	Explicit
Black Uhuru	Red	Sistren	4.567	0
Bob Marley & The Wailers	Legend	Get Up, Stand Up (Thievery Corporation remix)	3.250	0
Peter Tosh	Equal Rights	Equal Rights	5.967	0
Big Youth	Dreadlocks Dread	You Don’t Care	2.567	0
Burning Spear	Marcus Garvey	Marcus Garvey	3.433	0
Linton Kwesi Johnson	Bass Culture	Street 66	3.733	0
Augustus Pablo	East of the River Nile	Upfull Living	4.883	0
Hugh Mundell	Africa Must Be Free By 1983	Book of Life	3.117	0
U-Roy	Dread In A Babylon	African Message	2.833	0
Dadawah	Peace and Love	Run Come Rally	7.383	0
Scientist	Heavyweight Dub Champion	Seconds Away	3.233	0
Mad Professor	Dub Me Crazy Part 2: Beyond the Realms of Dub	Beyond the Realms Of Dub	7.217	0
