Artist	Album	Song	Duration	Explicit
La Dispute	Vancouver	Future Wars	2.950	0
Alesana	Where Myth Fades to Legend	Seduction	4.750	0
Vowel	All The Sad Songs	Cowards	2.200	0
CityCop.	The Hope In Forgiving & Giving Up Hope	Free Bird Part II	4.250	0
Pianos Become the Teeth	Old Pride	Cripples Can't Shiver	6.950	0
Suis La Lune	Riala	Cornea	3.583	0
Knowing We'll Never Grow Up	I Think I Hate Myself	Take My Hand, and Let's Walk Through an Open Field During a Thunderstorm	1.883	0
Beau Navire	Lumens	Prisms	2.183	0
Loma Prieta	I.V.	Fly By Night	2.667	0
The Saddest Landscape	Lift Your Burdens High For This Is Where We Cross	The Sixth Golden Ticket	5.833	0
Finch	Falling into Place	Perfection Through Silence	3.150	0
Escape the Fate	There's No Sympathy for the Dead	The Guillotine	4.533	0
At the Drive-In	Relationship of Command	Invalid Litter Dept.	6.083	0
